class index,filepaths,labels,data set
0,train/Dark/dark (1).png,Dark,train
0,train/Dark/dark (10).png,Dark,train
0,train/Dark/dark (100).png,Dark,train
0,train/Dark/dark (101).png,Dark,train
0,train/Dark/dark (102).png,Dark,train
0,train/Dark/dark (103).png,Dark,train
0,train/Dark/dark (104).png,Dark,train
0,train/Dark/dark (105).png,Dark,train
0,train/Dark/dark (106).png,Dark,train
0,train/Dark/dark (107).png,Dark,train
0,train/Dark/dark (108).png,Dark,train
0,train/Dark/dark (109).png,Dark,train
0,train/Dark/dark (11).png,Dark,train
0,train/Dark/dark (110).png,Dark,train
0,train/Dark/dark (111).png,Dark,train
0,train/Dark/dark (112).png,Dark,train
0,train/Dark/dark (113).png,Dark,train
0,train/Dark/dark (114).png,Dark,train
0,train/Dark/dark (115).png,Dark,train
0,train/Dark/dark (116).png,Dark,train
0,train/Dark/dark (117).png,Dark,train
0,train/Dark/dark (118).png,Dark,train
0,train/Dark/dark (119).png,Dark,train
0,train/Dark/dark (12).png,Dark,train
0,train/Dark/dark (120).png,Dark,train
0,train/Dark/dark (121).png,Dark,train
0,train/Dark/dark (122).png,Dark,train
0,train/Dark/dark (123).png,Dark,train
0,train/Dark/dark (124).png,Dark,train
0,train/Dark/dark (125).png,Dark,train
0,train/Dark/dark (126).png,Dark,train
0,train/Dark/dark (127).png,Dark,train
0,train/Dark/dark (128).png,Dark,train
0,train/Dark/dark (129).png,Dark,train
0,train/Dark/dark (13).png,Dark,train
0,train/Dark/dark (130).png,Dark,train
0,train/Dark/dark (131).png,Dark,train
0,train/Dark/dark (132).png,Dark,train
0,train/Dark/dark (133).png,Dark,train
0,train/Dark/dark (134).png,Dark,train
0,train/Dark/dark (135).png,Dark,train
0,train/Dark/dark (136).png,Dark,train
0,train/Dark/dark (137).png,Dark,train
0,train/Dark/dark (138).png,Dark,train
0,train/Dark/dark (139).png,Dark,train
0,train/Dark/dark (14).png,Dark,train
0,train/Dark/dark (140).png,Dark,train
0,train/Dark/dark (141).png,Dark,train
0,train/Dark/dark (142).png,Dark,train
0,train/Dark/dark (143).png,Dark,train
0,train/Dark/dark (144).png,Dark,train
0,train/Dark/dark (145).png,Dark,train
0,train/Dark/dark (146).png,Dark,train
0,train/Dark/dark (147).png,Dark,train
0,train/Dark/dark (148).png,Dark,train
0,train/Dark/dark (149).png,Dark,train
0,train/Dark/dark (15).png,Dark,train
0,train/Dark/dark (150).png,Dark,train
0,train/Dark/dark (151).png,Dark,train
0,train/Dark/dark (152).png,Dark,train
0,train/Dark/dark (153).png,Dark,train
0,train/Dark/dark (154).png,Dark,train
0,train/Dark/dark (155).png,Dark,train
0,train/Dark/dark (156).png,Dark,train
0,train/Dark/dark (157).png,Dark,train
0,train/Dark/dark (158).png,Dark,train
0,train/Dark/dark (159).png,Dark,train
0,train/Dark/dark (16).png,Dark,train
0,train/Dark/dark (160).png,Dark,train
0,train/Dark/dark (161).png,Dark,train
0,train/Dark/dark (162).png,Dark,train
0,train/Dark/dark (163).png,Dark,train
0,train/Dark/dark (164).png,Dark,train
0,train/Dark/dark (165).png,Dark,train
0,train/Dark/dark (166).png,Dark,train
0,train/Dark/dark (167).png,Dark,train
0,train/Dark/dark (168).png,Dark,train
0,train/Dark/dark (169).png,Dark,train
0,train/Dark/dark (17).png,Dark,train
0,train/Dark/dark (170).png,Dark,train
0,train/Dark/dark (171).png,Dark,train
0,train/Dark/dark (172).png,Dark,train
0,train/Dark/dark (173).png,Dark,train
0,train/Dark/dark (174).png,Dark,train
0,train/Dark/dark (175).png,Dark,train
0,train/Dark/dark (176).png,Dark,train
0,train/Dark/dark (177).png,Dark,train
0,train/Dark/dark (178).png,Dark,train
0,train/Dark/dark (179).png,Dark,train
0,train/Dark/dark (18).png,Dark,train
0,train/Dark/dark (180).png,Dark,train
0,train/Dark/dark (181).png,Dark,train
0,train/Dark/dark (182).png,Dark,train
0,train/Dark/dark (183).png,Dark,train
0,train/Dark/dark (184).png,Dark,train
0,train/Dark/dark (185).png,Dark,train
0,train/Dark/dark (186).png,Dark,train
0,train/Dark/dark (187).png,Dark,train
0,train/Dark/dark (188).png,Dark,train
0,train/Dark/dark (189).png,Dark,train
0,train/Dark/dark (19).png,Dark,train
0,train/Dark/dark (190).png,Dark,train
0,train/Dark/dark (191).png,Dark,train
0,train/Dark/dark (192).png,Dark,train
0,train/Dark/dark (193).png,Dark,train
0,train/Dark/dark (194).png,Dark,train
0,train/Dark/dark (195).png,Dark,train
0,train/Dark/dark (196).png,Dark,train
0,train/Dark/dark (197).png,Dark,train
0,train/Dark/dark (198).png,Dark,train
0,train/Dark/dark (199).png,Dark,train
0,train/Dark/dark (2).png,Dark,train
0,train/Dark/dark (20).png,Dark,train
0,train/Dark/dark (200).png,Dark,train
0,train/Dark/dark (201).png,Dark,train
0,train/Dark/dark (202).png,Dark,train
0,train/Dark/dark (203).png,Dark,train
0,train/Dark/dark (204).png,Dark,train
0,train/Dark/dark (205).png,Dark,train
0,train/Dark/dark (206).png,Dark,train
0,train/Dark/dark (207).png,Dark,train
0,train/Dark/dark (208).png,Dark,train
0,train/Dark/dark (209).png,Dark,train
0,train/Dark/dark (21).png,Dark,train
0,train/Dark/dark (210).png,Dark,train
0,train/Dark/dark (211).png,Dark,train
0,train/Dark/dark (212).png,Dark,train
0,train/Dark/dark (213).png,Dark,train
0,train/Dark/dark (214).png,Dark,train
0,train/Dark/dark (215).png,Dark,train
0,train/Dark/dark (216).png,Dark,train
0,train/Dark/dark (217).png,Dark,train
0,train/Dark/dark (218).png,Dark,train
0,train/Dark/dark (219).png,Dark,train
0,train/Dark/dark (22).png,Dark,train
0,train/Dark/dark (220).png,Dark,train
0,train/Dark/dark (221).png,Dark,train
0,train/Dark/dark (222).png,Dark,train
0,train/Dark/dark (223).png,Dark,train
0,train/Dark/dark (224).png,Dark,train
0,train/Dark/dark (225).png,Dark,train
0,train/Dark/dark (226).png,Dark,train
0,train/Dark/dark (227).png,Dark,train
0,train/Dark/dark (228).png,Dark,train
0,train/Dark/dark (229).png,Dark,train
0,train/Dark/dark (23).png,Dark,train
0,train/Dark/dark (230).png,Dark,train
0,train/Dark/dark (231).png,Dark,train
0,train/Dark/dark (232).png,Dark,train
0,train/Dark/dark (233).png,Dark,train
0,train/Dark/dark (234).png,Dark,train
0,train/Dark/dark (235).png,Dark,train
0,train/Dark/dark (236).png,Dark,train
0,train/Dark/dark (237).png,Dark,train
0,train/Dark/dark (238).png,Dark,train
0,train/Dark/dark (239).png,Dark,train
0,train/Dark/dark (24).png,Dark,train
0,train/Dark/dark (240).png,Dark,train
0,train/Dark/dark (241).png,Dark,train
0,train/Dark/dark (242).png,Dark,train
0,train/Dark/dark (243).png,Dark,train
0,train/Dark/dark (244).png,Dark,train
0,train/Dark/dark (245).png,Dark,train
0,train/Dark/dark (246).png,Dark,train
0,train/Dark/dark (247).png,Dark,train
0,train/Dark/dark (248).png,Dark,train
0,train/Dark/dark (249).png,Dark,train
0,train/Dark/dark (25).png,Dark,train
0,train/Dark/dark (250).png,Dark,train
0,train/Dark/dark (251).png,Dark,train
0,train/Dark/dark (252).png,Dark,train
0,train/Dark/dark (253).png,Dark,train
0,train/Dark/dark (254).png,Dark,train
0,train/Dark/dark (255).png,Dark,train
0,train/Dark/dark (256).png,Dark,train
0,train/Dark/dark (257).png,Dark,train
0,train/Dark/dark (258).png,Dark,train
0,train/Dark/dark (259).png,Dark,train
0,train/Dark/dark (26).png,Dark,train
0,train/Dark/dark (260).png,Dark,train
0,train/Dark/dark (261).png,Dark,train
0,train/Dark/dark (262).png,Dark,train
0,train/Dark/dark (263).png,Dark,train
0,train/Dark/dark (264).png,Dark,train
0,train/Dark/dark (265).png,Dark,train
0,train/Dark/dark (266).png,Dark,train
0,train/Dark/dark (267).png,Dark,train
0,train/Dark/dark (268).png,Dark,train
0,train/Dark/dark (269).png,Dark,train
0,train/Dark/dark (27).png,Dark,train
0,train/Dark/dark (270).png,Dark,train
0,train/Dark/dark (271).png,Dark,train
0,train/Dark/dark (272).png,Dark,train
0,train/Dark/dark (273).png,Dark,train
0,train/Dark/dark (274).png,Dark,train
0,train/Dark/dark (275).png,Dark,train
0,train/Dark/dark (276).png,Dark,train
0,train/Dark/dark (277).png,Dark,train
0,train/Dark/dark (278).png,Dark,train
0,train/Dark/dark (279).png,Dark,train
0,train/Dark/dark (28).png,Dark,train
0,train/Dark/dark (280).png,Dark,train
0,train/Dark/dark (281).png,Dark,train
0,train/Dark/dark (282).png,Dark,train
0,train/Dark/dark (283).png,Dark,train
0,train/Dark/dark (284).png,Dark,train
0,train/Dark/dark (285).png,Dark,train
0,train/Dark/dark (286).png,Dark,train
0,train/Dark/dark (287).png,Dark,train
0,train/Dark/dark (288).png,Dark,train
0,train/Dark/dark (289).png,Dark,train
0,train/Dark/dark (29).png,Dark,train
0,train/Dark/dark (290).png,Dark,train
0,train/Dark/dark (291).png,Dark,train
0,train/Dark/dark (292).png,Dark,train
0,train/Dark/dark (293).png,Dark,train
0,train/Dark/dark (294).png,Dark,train
0,train/Dark/dark (295).png,Dark,train
0,train/Dark/dark (296).png,Dark,train
0,train/Dark/dark (297).png,Dark,train
0,train/Dark/dark (298).png,Dark,train
0,train/Dark/dark (299).png,Dark,train
0,train/Dark/dark (3).png,Dark,train
0,train/Dark/dark (30).png,Dark,train
0,train/Dark/dark (300).png,Dark,train
0,train/Dark/dark (31).png,Dark,train
0,train/Dark/dark (32).png,Dark,train
0,train/Dark/dark (33).png,Dark,train
0,train/Dark/dark (34).png,Dark,train
0,train/Dark/dark (35).png,Dark,train
0,train/Dark/dark (36).png,Dark,train
0,train/Dark/dark (37).png,Dark,train
0,train/Dark/dark (38).png,Dark,train
0,train/Dark/dark (39).png,Dark,train
0,train/Dark/dark (4).png,Dark,train
0,train/Dark/dark (40).png,Dark,train
0,train/Dark/dark (41).png,Dark,train
0,train/Dark/dark (42).png,Dark,train
0,train/Dark/dark (43).png,Dark,train
0,train/Dark/dark (44).png,Dark,train
0,train/Dark/dark (45).png,Dark,train
0,train/Dark/dark (46).png,Dark,train
0,train/Dark/dark (47).png,Dark,train
0,train/Dark/dark (48).png,Dark,train
0,train/Dark/dark (49).png,Dark,train
0,train/Dark/dark (5).png,Dark,train
0,train/Dark/dark (50).png,Dark,train
0,train/Dark/dark (51).png,Dark,train
0,train/Dark/dark (52).png,Dark,train
0,train/Dark/dark (53).png,Dark,train
0,train/Dark/dark (54).png,Dark,train
0,train/Dark/dark (55).png,Dark,train
0,train/Dark/dark (56).png,Dark,train
0,train/Dark/dark (57).png,Dark,train
0,train/Dark/dark (58).png,Dark,train
0,train/Dark/dark (59).png,Dark,train
0,train/Dark/dark (6).png,Dark,train
0,train/Dark/dark (60).png,Dark,train
0,train/Dark/dark (61).png,Dark,train
0,train/Dark/dark (62).png,Dark,train
0,train/Dark/dark (63).png,Dark,train
0,train/Dark/dark (64).png,Dark,train
0,train/Dark/dark (65).png,Dark,train
0,train/Dark/dark (66).png,Dark,train
0,train/Dark/dark (67).png,Dark,train
0,train/Dark/dark (68).png,Dark,train
0,train/Dark/dark (69).png,Dark,train
0,train/Dark/dark (7).png,Dark,train
0,train/Dark/dark (70).png,Dark,train
0,train/Dark/dark (71).png,Dark,train
0,train/Dark/dark (72).png,Dark,train
0,train/Dark/dark (73).png,Dark,train
0,train/Dark/dark (74).png,Dark,train
0,train/Dark/dark (75).png,Dark,train
0,train/Dark/dark (76).png,Dark,train
0,train/Dark/dark (77).png,Dark,train
0,train/Dark/dark (78).png,Dark,train
0,train/Dark/dark (79).png,Dark,train
0,train/Dark/dark (8).png,Dark,train
0,train/Dark/dark (80).png,Dark,train
0,train/Dark/dark (81).png,Dark,train
0,train/Dark/dark (82).png,Dark,train
0,train/Dark/dark (83).png,Dark,train
0,train/Dark/dark (84).png,Dark,train
0,train/Dark/dark (85).png,Dark,train
0,train/Dark/dark (86).png,Dark,train
0,train/Dark/dark (87).png,Dark,train
0,train/Dark/dark (88).png,Dark,train
0,train/Dark/dark (89).png,Dark,train
0,train/Dark/dark (9).png,Dark,train
0,train/Dark/dark (90).png,Dark,train
0,train/Dark/dark (91).png,Dark,train
0,train/Dark/dark (92).png,Dark,train
0,train/Dark/dark (93).png,Dark,train
0,train/Dark/dark (94).png,Dark,train
0,train/Dark/dark (95).png,Dark,train
0,train/Dark/dark (96).png,Dark,train
0,train/Dark/dark (97).png,Dark,train
0,train/Dark/dark (98).png,Dark,train
0,train/Dark/dark (99).png,Dark,train
1,train/Green/green (1).png,Green,train
1,train/Green/green (10).png,Green,train
1,train/Green/green (100).png,Green,train
1,train/Green/green (101).png,Green,train
1,train/Green/green (102).png,Green,train
1,train/Green/green (103).png,Green,train
1,train/Green/green (104).png,Green,train
1,train/Green/green (105).png,Green,train
1,train/Green/green (106).png,Green,train
1,train/Green/green (107).png,Green,train
1,train/Green/green (108).png,Green,train
1,train/Green/green (109).png,Green,train
1,train/Green/green (11).png,Green,train
1,train/Green/green (110).png,Green,train
1,train/Green/green (111).png,Green,train
1,train/Green/green (112).png,Green,train
1,train/Green/green (113).png,Green,train
1,train/Green/green (114).png,Green,train
1,train/Green/green (115).png,Green,train
1,train/Green/green (116).png,Green,train
1,train/Green/green (117).png,Green,train
1,train/Green/green (118).png,Green,train
1,train/Green/green (119).png,Green,train
1,train/Green/green (12).png,Green,train
1,train/Green/green (120).png,Green,train
1,train/Green/green (121).png,Green,train
1,train/Green/green (122).png,Green,train
1,train/Green/green (123).png,Green,train
1,train/Green/green (124).png,Green,train
1,train/Green/green (125).png,Green,train
1,train/Green/green (126).png,Green,train
1,train/Green/green (127).png,Green,train
1,train/Green/green (128).png,Green,train
1,train/Green/green (129).png,Green,train
1,train/Green/green (13).png,Green,train
1,train/Green/green (130).png,Green,train
1,train/Green/green (131).png,Green,train
1,train/Green/green (132).png,Green,train
1,train/Green/green (133).png,Green,train
1,train/Green/green (134).png,Green,train
1,train/Green/green (135).png,Green,train
1,train/Green/green (136).png,Green,train
1,train/Green/green (137).png,Green,train
1,train/Green/green (138).png,Green,train
1,train/Green/green (139).png,Green,train
1,train/Green/green (14).png,Green,train
1,train/Green/green (140).png,Green,train
1,train/Green/green (141).png,Green,train
1,train/Green/green (142).png,Green,train
1,train/Green/green (143).png,Green,train
1,train/Green/green (144).png,Green,train
1,train/Green/green (145).png,Green,train
1,train/Green/green (146).png,Green,train
1,train/Green/green (147).png,Green,train
1,train/Green/green (148).png,Green,train
1,train/Green/green (149).png,Green,train
1,train/Green/green (15).png,Green,train
1,train/Green/green (150).png,Green,train
1,train/Green/green (151).png,Green,train
1,train/Green/green (152).png,Green,train
1,train/Green/green (153).png,Green,train
1,train/Green/green (154).png,Green,train
1,train/Green/green (155).png,Green,train
1,train/Green/green (156).png,Green,train
1,train/Green/green (157).png,Green,train
1,train/Green/green (158).png,Green,train
1,train/Green/green (159).png,Green,train
1,train/Green/green (16).png,Green,train
1,train/Green/green (160).png,Green,train
1,train/Green/green (161).png,Green,train
1,train/Green/green (162).png,Green,train
1,train/Green/green (163).png,Green,train
1,train/Green/green (164).png,Green,train
1,train/Green/green (165).png,Green,train
1,train/Green/green (166).png,Green,train
1,train/Green/green (167).png,Green,train
1,train/Green/green (168).png,Green,train
1,train/Green/green (169).png,Green,train
1,train/Green/green (17).png,Green,train
1,train/Green/green (170).png,Green,train
1,train/Green/green (171).png,Green,train
1,train/Green/green (172).png,Green,train
1,train/Green/green (173).png,Green,train
1,train/Green/green (174).png,Green,train
1,train/Green/green (175).png,Green,train
1,train/Green/green (176).png,Green,train
1,train/Green/green (177).png,Green,train
1,train/Green/green (178).png,Green,train
1,train/Green/green (179).png,Green,train
1,train/Green/green (18).png,Green,train
1,train/Green/green (180).png,Green,train
1,train/Green/green (181).png,Green,train
1,train/Green/green (182).png,Green,train
1,train/Green/green (183).png,Green,train
1,train/Green/green (184).png,Green,train
1,train/Green/green (185).png,Green,train
1,train/Green/green (186).png,Green,train
1,train/Green/green (187).png,Green,train
1,train/Green/green (188).png,Green,train
1,train/Green/green (189).png,Green,train
1,train/Green/green (19).png,Green,train
1,train/Green/green (190).png,Green,train
1,train/Green/green (191).png,Green,train
1,train/Green/green (192).png,Green,train
1,train/Green/green (193).png,Green,train
1,train/Green/green (194).png,Green,train
1,train/Green/green (195).png,Green,train
1,train/Green/green (196).png,Green,train
1,train/Green/green (197).png,Green,train
1,train/Green/green (198).png,Green,train
1,train/Green/green (199).png,Green,train
1,train/Green/green (2).png,Green,train
1,train/Green/green (20).png,Green,train
1,train/Green/green (200).png,Green,train
1,train/Green/green (201).png,Green,train
1,train/Green/green (202).png,Green,train
1,train/Green/green (203).png,Green,train
1,train/Green/green (204).png,Green,train
1,train/Green/green (205).png,Green,train
1,train/Green/green (206).png,Green,train
1,train/Green/green (207).png,Green,train
1,train/Green/green (208).png,Green,train
1,train/Green/green (209).png,Green,train
1,train/Green/green (21).png,Green,train
1,train/Green/green (210).png,Green,train
1,train/Green/green (211).png,Green,train
1,train/Green/green (212).png,Green,train
1,train/Green/green (213).png,Green,train
1,train/Green/green (214).png,Green,train
1,train/Green/green (215).png,Green,train
1,train/Green/green (216).png,Green,train
1,train/Green/green (217).png,Green,train
1,train/Green/green (218).png,Green,train
1,train/Green/green (219).png,Green,train
1,train/Green/green (22).png,Green,train
1,train/Green/green (220).png,Green,train
1,train/Green/green (221).png,Green,train
1,train/Green/green (222).png,Green,train
1,train/Green/green (223).png,Green,train
1,train/Green/green (224).png,Green,train
1,train/Green/green (225).png,Green,train
1,train/Green/green (226).png,Green,train
1,train/Green/green (227).png,Green,train
1,train/Green/green (228).png,Green,train
1,train/Green/green (229).png,Green,train
1,train/Green/green (23).png,Green,train
1,train/Green/green (230).png,Green,train
1,train/Green/green (231).png,Green,train
1,train/Green/green (232).png,Green,train
1,train/Green/green (233).png,Green,train
1,train/Green/green (234).png,Green,train
1,train/Green/green (235).png,Green,train
1,train/Green/green (236).png,Green,train
1,train/Green/green (237).png,Green,train
1,train/Green/green (238).png,Green,train
1,train/Green/green (239).png,Green,train
1,train/Green/green (24).png,Green,train
1,train/Green/green (240).png,Green,train
1,train/Green/green (241).png,Green,train
1,train/Green/green (242).png,Green,train
1,train/Green/green (243).png,Green,train
1,train/Green/green (244).png,Green,train
1,train/Green/green (245).png,Green,train
1,train/Green/green (246).png,Green,train
1,train/Green/green (247).png,Green,train
1,train/Green/green (248).png,Green,train
1,train/Green/green (249).png,Green,train
1,train/Green/green (25).png,Green,train
1,train/Green/green (250).png,Green,train
1,train/Green/green (251).png,Green,train
1,train/Green/green (252).png,Green,train
1,train/Green/green (253).png,Green,train
1,train/Green/green (254).png,Green,train
1,train/Green/green (255).png,Green,train
1,train/Green/green (256).png,Green,train
1,train/Green/green (257).png,Green,train
1,train/Green/green (258).png,Green,train
1,train/Green/green (259).png,Green,train
1,train/Green/green (26).png,Green,train
1,train/Green/green (260).png,Green,train
1,train/Green/green (261).png,Green,train
1,train/Green/green (262).png,Green,train
1,train/Green/green (263).png,Green,train
1,train/Green/green (264).png,Green,train
1,train/Green/green (265).png,Green,train
1,train/Green/green (266).png,Green,train
1,train/Green/green (267).png,Green,train
1,train/Green/green (268).png,Green,train
1,train/Green/green (269).png,Green,train
1,train/Green/green (27).png,Green,train
1,train/Green/green (270).png,Green,train
1,train/Green/green (271).png,Green,train
1,train/Green/green (272).png,Green,train
1,train/Green/green (273).png,Green,train
1,train/Green/green (274).png,Green,train
1,train/Green/green (275).png,Green,train
1,train/Green/green (276).png,Green,train
1,train/Green/green (277).png,Green,train
1,train/Green/green (278).png,Green,train
1,train/Green/green (279).png,Green,train
1,train/Green/green (28).png,Green,train
1,train/Green/green (280).png,Green,train
1,train/Green/green (281).png,Green,train
1,train/Green/green (282).png,Green,train
1,train/Green/green (283).png,Green,train
1,train/Green/green (284).png,Green,train
1,train/Green/green (285).png,Green,train
1,train/Green/green (286).png,Green,train
1,train/Green/green (287).png,Green,train
1,train/Green/green (288).png,Green,train
1,train/Green/green (289).png,Green,train
1,train/Green/green (29).png,Green,train
1,train/Green/green (290).png,Green,train
1,train/Green/green (291).png,Green,train
1,train/Green/green (292).png,Green,train
1,train/Green/green (293).png,Green,train
1,train/Green/green (294).png,Green,train
1,train/Green/green (295).png,Green,train
1,train/Green/green (296).png,Green,train
1,train/Green/green (297).png,Green,train
1,train/Green/green (298).png,Green,train
1,train/Green/green (299).png,Green,train
1,train/Green/green (3).png,Green,train
1,train/Green/green (30).png,Green,train
1,train/Green/green (300).png,Green,train
1,train/Green/green (31).png,Green,train
1,train/Green/green (32).png,Green,train
1,train/Green/green (33).png,Green,train
1,train/Green/green (34).png,Green,train
1,train/Green/green (35).png,Green,train
1,train/Green/green (36).png,Green,train
1,train/Green/green (37).png,Green,train
1,train/Green/green (38).png,Green,train
1,train/Green/green (39).png,Green,train
1,train/Green/green (4).png,Green,train
1,train/Green/green (40).png,Green,train
1,train/Green/green (41).png,Green,train
1,train/Green/green (42).png,Green,train
1,train/Green/green (43).png,Green,train
1,train/Green/green (44).png,Green,train
1,train/Green/green (45).png,Green,train
1,train/Green/green (46).png,Green,train
1,train/Green/green (47).png,Green,train
1,train/Green/green (48).png,Green,train
